Importer,imported_USD,share_perc,distance_km,,,,,,,,,
South Africa,2991,0.2,10426,,,,,,,,,
Egypt,2929,0.2,5574,,,,,,,,,
Morocco,2753,0.2,9209,,,,,,,,,
"Libya, State of",1957,0.2,2329,,,,,,,,,
Tunisia,1535,0.1,3213,,,,,,,,,
Kenya,1405,0.1,6282,,,,,,,,,
Ghana,1350,0.1,5994,,,,,,,,,
Ethiopia,1153,0.1,7597,,,,,,,,,
Uganda,1006,0.1,6671,,,,,,,,,
Algeria,591,0,4938,,,,,,,,,
Angola,474,0,7131,,,,,,,,,
Côte d'Ivoire,436,0,5446,,,,,,,,,
Nigeria,365,0,9425,,,,,,,,,
Zimbabwe,359,0,1901,,,,,,,,,
"Tanzania, United Republic of",306,0,6332,,,,,,,,,
Mali,274,0,4790,,,,,,,,,
Burkina Faso,261,0,6462,,,,,,,,,
Cameroon,240,0,9461,,,,,,,,,
"Congo, Democratic Republic of the",239,0,6885,,,,,,,,,
Zambia,176,0,7389,,,,,,,,,
Sierra Leone,171,0,5102,,,,,,,,,
Namibia,145,0,2120,,,,,,,,,
Sudan,142,0,,,,,,,,,,
Somalia,133,0,7075,,,,,,,,,
Mauritius,114,0,8431,,,,,,,,,
Mozambique,104,0,6547,,,,,,,,,
Senegal,103,0,5402,,,,,,,,,
Lesotho,100,0,369,,,,,,,,,
Madagascar,89,0,8514,,,,,,,,,
Djibouti,74,0,4932,,,,,,,,,
Congo,62,0,6457,,,,,,,,,
Guinea,56,0,9326,,,,,,,,,
Botswana,55,0,5348,,,,,,,,,
Burundi,44,0,9557,,,,,,,,,
Benin,43,0,6012,,,,,,,,,
Niger,41,0,9341,,,,,,,,,
Cabo Verde,39,0,3470,,,,,,,,,
Rwanda,30,0,6943,,,,,,,,,
Seychelles,28,0,3744,,,,,,,,,
Gabon,24,0,5560,,,,,,,,,
Sao Tome and Principe,21,0,11441,,,,,,,,,
Liberia,20,0,7904,,,,,,,,,
Equatorial Guinea,18,0,4593,,,,,,,,,
Togo,18,0,6992,,,,,,,,,
Guinea-Bissau,17,0,4940,,,,,,,,,
Chad,16,0,4498,,,,,,,,,
Eswatini,16,0,3926,,,,,,,,,
Malawi,15,0,7342,,,,,,,,,
South Sudan,8,0,,,,,,,,,,
Central African Republic,6,0,5359,,,,,,,,,
Mauritania,3,0,3566,,,,,,,,,
Eritrea,2,0,4033,,,,,,,,,
