Importer,imported_USD,share_perc,distance_km,,,,,,,,,
Mexico,11921,1,8825,,,,,,,,,
Brazil,11123,0.9,12870,,,,,,,,,
Chile,4584,0.4,14718,,,,,,,,,
Peru,4554,0.4,11456,,,,,,,,,
Costa Rica,3751,0.3,5532,,,,,,,,,
Colombia,2699,0.2,12257,,,,,,,,,
Argentina,1759,0.1,17342,,,,,,,,,
"Bolivia, Plurinational State of",936,0.1,13783,,,,,,,,,
Ecuador,882,0.1,10736,,,,,,,,,
Nicaragua,784,0.1,9621,,,,,,,,,
Guatemala,610,0.1,8029,,,,,,,,,
Dominican Republic,573,0,6031,,,,,,,,,
El Salvador,561,0,5410,,,,,,,,,
Panama,555,0,8515,,,,,,,,,
Honduras,393,0,13171,,,,,,,,,
Paraguay,367,0,12825,,,,,,,,,
Uruguay,361,0,13074,,,,,,,,,
Trinidad and Tobago,148,0,7432,,,,,,,,,
Cayman Islands,57,0,2530,,,,,,,,,
"Venezuela, Bolivarian Republic of",33,0,1710,,,,,,,,,
Guyana,27,0,6365,,,,,,,,,
Barbados,23,0,5065,,,,,,,,,
Cuba,20,0,11573,,,,,,,,,
Jamaica,14,0,6882,,,,,,,,,
Aruba,11,0,4122,,,,,,,,,
Belize,10,0,2561,,,,,,,,,
Saint Vincent and the Grenadines,8,0,4060,,,,,,,,,
Suriname,7,0,7512,,,,,,,,,
Bahamas,5,0,2022,,,,,,,,,
Grenada,3,0,7727,,,,,,,,,
Haiti,2,0,13838,,,,,,,,,
